Bank/App Name,Rating,Date,Review Text,Review ID,Source,sentiment_score,sentiment_label
Commercial Bank of Ethiopia,2,2025-05-25,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",9e6b8e08-8acf-4e1f-a179-a5a703ff2ebc,Google Play Store,-0.9997394680976868,NEGATIVE
Commercial Bank of Ethiopia,4,2025-03-20,"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",c61286fb-631a-440c-96fd-1dc5d09bc76e,Google Play Store,-0.9968382120132446,NEGATIVE
Commercial Bank of Ethiopia,5,2025-04-04,"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",c0caedf3-4a0b-4c32-94f8-d6a3bb6d3f17,Google Play Store,0.9998189806938171,POSITIVE
Commercial Bank of Ethiopia,5,2025-05-31,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,50ffac9d-437d-4d26-af4f-b6b0153d55fd,Google Play Store,-0.9983141422271729,NEGATIVE
Commercial Bank of Ethiopia,1,2025-06-04,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",f0dd744a-9409-4619-9800-7ea501571b09,Google Play Store,-0.9905162453651428,NEGATIVE
Commercial Bank of Ethiopia,2,2025-03-19,as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,7d68d33b-b337-4119-a381-9ad93f9ddd8b,Google Play Store,-0.9995331764221191,NEGATIVE
Commercial Bank of Ethiopia,1,2025-03-21,"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",24550474-adc1-4385-8743-0fe8f1864540,Google Play Store,-0.9987834095954895,NEGATIVE
Commercial Bank of Ethiopia,1,2025-03-20,Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,cbae8db5-455f-45a9-a45b-a41eafbd59d0,Google Play Store,-0.9997187256813049,NEGATIVE
Commercial Bank of Ethiopia,2,2025-05-31,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",8bf4df47-c266-4152-9790-4217143b3a91,Google Play Store,-0.9991102814674377,NEGATIVE
Commercial Bank of Ethiopia,4,2025-05-27,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",ea23b98c-f4c7-4fdc-b64f-d8097e5efd1a,Google Play Store,-0.9996353387832642,NEGATIVE
Commercial Bank of Ethiopia,1,2025-02-15,"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",c55fa126-6810-4210-9182-d97108bde183,Google Play Store,-0.9966446161270142,NEGATIVE
Commercial Bank of Ethiopia,1,2025-03-26,It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,66f5fb67-df7b-4274-aba4-d2c99ae38b1c,Google Play Store,-0.9995493292808533,NEGATIVE
Commercial Bank of Ethiopia,1,2025-03-27,"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",19f55fb5-6f4a-40aa-a1ea-b9e4fa7eabc7,Google Play Store,-0.9977697134017944,NEGATIVE
Commercial Bank of Ethiopia,3,2025-03-30,"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",6cf09afc-f13c-462f-9183-c33863284a68,Google Play Store,-0.9945583343505859,NEGATIVE
Commercial Bank of Ethiopia,3,2025-04-18,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",9028e8f6-0f93-4631-8540-a1d39ecb40ee,Google Play Store,-0.9861215949058533,NEGATIVE
Commercial Bank of Ethiopia,1,2025-01-29,"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",8fbd641c-bf53-4a50-bf06-ecebeac3b6fe,Google Play Store,-0.9523297548294067,NEGATIVE
Commercial Bank of Ethiopia,4,2025-04-01,"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",e86dc853-b071-4ba1-8326-6cb96f6fc354,Google Play Store,0.9895473718643188,POSITIVE
Commercial Bank of Ethiopia,4,2025-05-13,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,336d7230-c7c0-4aa9-9d43-17ddfbffbca1,Google Play Store,-0.947411835193634,NEGATIVE
Commercial Bank of Ethiopia,1,2025-04-02,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",e1026d09-65d7-41c7-97e7-3a072beee79f,Google Play Store,-0.9986600875854492,NEGATIVE
Commercial Bank of Ethiopia,3,2025-04-04,before it was smooth and good. this time after the new update in 2025 i can not make screenshot of my recite. even the downlod button is very delayed in putting my recite in my gallery for simple proof. please fix this i am unable to show proof of payment to my clients. thankyou.,06e420aa-153d-45ed-b2e5-d779c12141aa,Google Play Store,-0.9973511695861816,NEGATIVE
Commercial Bank of Ethiopia,2,2025-04-21,"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",51e311f1-6242-413f-91e1-5facc62e4b1f,Google Play Store,-0.9995972514152527,NEGATIVE
